"city","state"
"Ridgefield","WA"
"Beaverton-Aloha","OR"
"Delta","BC"
"Concord","MA"
"Clackamas","OR"
"Miami Beach","FL"
"Lynnfield","MA"
"Clarkston","GA"
"East Point","GA"
"WINTER SPRINGS","FL"
"Columbus ","OH"
"NW Atlanta","GA"
"Hunters Creek","FL"
"Chelsea","MA"
"east boston","MA"
"Marlborough","MA"
"Danvers","MA"
"Grove City","OH"
"Dedham ","MA"
"ATLANTA","GA"
"East Weymouth","MA"
"Provincetown","MA"
"North Reading","MA"
"cambridge","MA"
"orlando","FL"
"EAST  Boston","MA"
"Kenansville","FL"
"Port St John","FL"
"Franklin","MA"
"Clintonville","OH"
"Celebration","FL"
"Surrey","BC"
"Cambridge","MA"
"Watertowm","MA"
"Mattapan","MA"
"Billerica","MA"
"Austin.","TX"
"East Boston","MA"
"Stoneham","MA"
"Bowen Island","BC"
"Port coquitlam","BC"
"Castle Rock","WA"
"Gahanna","OH"
"Pflugerville","TX"
"South Natick","MA"
"Newton Corner","MA"
"New Albany","OH"
"Greater Vancouver Regional District","BC"
"Roslindale","MA"
"Grandview Heights","OH"
"Boston-Fenway","MA"
"Grove Port","OH"
"El Cerrito","TX"
"NORTH VANCOUVER","BC"
"portland","OR"
"Needham","MA"
"Malden","MA"
"Hanscom AFB","MA"
"Vancover","WA"
"San Marcos","TX"
"Orlando Fl","FL"
"Watertown","MA"
"Wekiva Springs","FL"
"Lake Mary","FL"
"Titusville","FL"
"Galloway","OH"
"reading","MA"
"Readville","MA"
"West Jefferson","OH"
"Vancouver BC","BC"
"Dunwoody","GA"
"PORTLAND AP","OR"
"Happy Valley","OR"
"Lousville","CO"
"Avon","MA"
"apopka","FL"
"EVERETT","MA"
"Lago Vista","TX"
"Tewksbury","MA"
"Collegepark","GA"
"Drippings Springs","TX"
"Marshfield","MA"
"Lake Owego","OR"
"Apopka","FL"
"Hingham","MA"
"Wellesley,","MA"
"Decatur","GA"
"kissimmee","FL"
"Mableton","GA"
"Richmond","BC"
"Lake Travis","TX"
"Hilliard","OH"
"Stoughon","MA"
"VANCOUVER","BC"
"Auatin","TX"
"Altamonte Springs ","FL"
"Boston College","MA"
"DAVENPORT","FL"
"Maitland","FL"
"Gainesville","FL"
"ALTAMONTE SPRINGS","FL"
"Orange","OH"
"Pine Lake","GA"
"Somerville","MA"
"Vancouver","WA"
"Salem","MA"
"Lilburn","GA"
"Dripping Springs.","TX"
"LAKE CITY","GA"
"Watertown,","MA"
"Davenport","FL"
"wakefield","MA"
"Hull","MA"
"Woodstock","GA"
"HOLB","MA"
"New Braunfels","TX"
"Gold Hill","CO"
"Nantasket Beach","MA"
"Burlington","MA"
"Perimeter","GA"
"DUBLIN","OH"
"West Roxury","MA"
"Wellesley","MA"
"Roxbury Crossing","MA"
"Brice","OH"
"Atlants","GA"
"PEABODY","MA"
"Newton L F","MA"
"Sunset Valley","TX"
"East Vancouver","BC"
"Hanover","MA"
"Orlanto","FL"
"Porltand","OR"
"Round Rock","TX"
"Sommerville","MA"
"atlanta","GA"
"Buckhead","GA"
"Metro Atlanta","GA"
"Del Valley","TX"
"Orient","OH"
"Alafaya","FL"
"Victoria","BC"
"Oak Square","MA"
"Springfield","OH"
"WInter Park","FL"
"Brookwood","GA"
"PORT COQUITLAM","BC"
"BRA","MA"
"Loughman","FL"
"Waterford Lakes","FL"
"Clarkson","GA"
"Saint  Cloud","FL"
"Lakeway","TX"
"West Vancouver","BC"
"Winthrop","MA"
"Sandy Spring","GA"
"Danville","NH"
"Chestnut Hills","MA"
"Garfield","TX"
"Sellwood","OR"
"Hazel Dell","WA"
"North Delta","BC"
"Damascas","OR"
"Fraser Heights","BC"
"Colombus","OH"
"Dorchester Center","MA"
"Franklin Park","IL"
"Arling-n","MA"
"Lincoln","MA"
"Newton Lower Falls","MA"
"Goldenrod","FL"
"Beaverton","CA"
"Walt Disney World","FL"
"Winter Spring","FL"
"Altamonte  springs","FL"
"BEAVERTON","OR"
"Milwaulkie","OR"
"Marrietta","GA"
"Portland-Gateway Plaza","OR"
"Oak Bluffs","MA"
"Cassselberry","FL"
"Northlake","GA"
"Beavercreek","OR"
"Palm Bay","FL"
"Lions Bay","BC"
"College Park","GA"
"surrey","BC"
"Geneva","FL"
"Snellville","GA"
"Lockhart","FL"
"Winter Garden Fl","FL"
"Ponce","GA"
"Milwauke","OR"
"Windermere","FL"
"Florida","FL"
"North Vancouver District","BC"
"Vancouver","BC"
"AUBURNDALE","MA"
"E.Point","GA"
"Marylhurst","OR"
"Stouhgton","MA"
"PICKERINGTON","OH"
"Toronto","ON"
"Cohasset","MA"
"Niederwald","TX"
"Eastpoint","GA"
"Decatur, GA","GA"
"Dell Valley","TX"
"North Andover","MA"
"N. Weymouth","MA"
"Minneola","FL"
"Autin","TX"
"Winter Springs","FL"
"North Olmsted","OH"
"De Bary","FL"
"Delta Park","OR"
"Buford","GA"
"Oklahoma City","OK"
"Winter park","FL"
"Sanford","NC"
"Norfolk","VA"
"Urbancrest","OH"
"Sanford","FL"
"Upper Arlngtn","OH"
"Tewskbury","MA"
"Westerville","OH"
"Austin SW","TX"
"Newton U F","MA"
"ST. CLOUD","FL"
"Bayamon","FL"
"Lake Austin","TX"
"N.Billerica","MA"
"Allston","MA"
"Hutto","TX"
"Hyde Park","MA"
"RICHMOND","BC"
"ORLANDO HOTEL","FL"
"Westlake Hills","TX"
"Metro Orlando","FL"
"Grandview","OH"
"Oviedo","FL"
"SANFORD","FL"
"Oregon City","OR"
"North Beverly","MA"
"Brighton Newton","MA"
"SOMERVILLE","MA"
"Winter springs","FL"
"PORTLAND","OR"
"Lake Grove","OR"
"Galena","OH"
"Belterra","TX"
"North Reading","ME"
"Silverton","OR"
"Monroe","GA"
"Van Alstyne","TX"
"DEBARY","FL"
"longwood","FL"
"Atlanta (Georgia Tech)","GA"
"Upper Arlignton","OH"
"Powell","OH"
"Braintree","MA"
"Mims","FL"
"E. Boston","MA"
"austin","TX"
"Bee Caves","TX"
"Lithonia","GA"
"Braintree Ma","MA"
"Altamonte Springs Orlando","FL"
"South Brookline","MA"
"Morgan Hill","CA"
"Jamaica Plain","MA"
"Orchards","WA"
"Prontland","OR"
"Sherwood","OR"
"Coquitlam","BC"
"Coumbus","OH"
"West Lake","TX"
"Lake Buena Vista","FL"
"Oveido","FL"
"Point Venture","TX"
"Altamonte Spring","FL"
"South Bloomfield","OH"
"Mabelton","GA"
"Bay Lake","FL"
"North Weymouth","MA"
"Gwinnett","GA"
"Natick","MA"
"VANCOUVER DT (BC)","BC"
"North Lamar","TX"
"Hapeville","GA"
"Driftwood, TX","TX"
"Beaverton","WA"
"Point","GA"
"acworth","GA"
"Newburyport","MA"
"Austin ","TX"
"New Albany","CA"
"Riverdale","GA"
"Burnaby","ON"
"Aloma","FL"
"Union Park","FL"
"East Atlanta","GA"
"DORCHESTER","MA"
"Peabody","MA"
"Orlando, Florida","FL"
"Wilmington","MA"
"Auston","TX"
"East Walpole","MA"
"Altanta","GA"
"Buckhead, Atlanta","GA"
"Port Saint John","FL"
"Austin","TX"
"West Roxbury","MA"
"Worcester","MA"
"Hillsbor","OR"
"Dale","TX"
"Fulton","GA"
"Dorchester","MA"
"columbus","OH"
"Kissimmee","FL"
"NE Portland","OR"
"Beecave","TX"
"Framingham","MA"
"Alton","OH"
"Back Bay","MA"
"Dover","MA"
"Clayton","GA"
"Harmony","FL"
"Griffin","GA"
"West Plant","FL"
"Port St. John","FL"
"West Point Grey","BC"
"West linn","OR"
"Milwuakie","OR"
"North Waltham","MA"
"Steveston","BC"
"Mission Viejo","OR"
"Dublin","OH"
"Candler-McAfee","GA"
"Thoroughbred Estates","TX"
"Fern park","FL"
"Scottdale","GA"
"Boston","MA"
"San dy","OR"
"Englewood","OH"
"Kelowna","BC"
"Austin, TX","TX"
"Denver","CO"
"Atlanta ","GA"
"Marysville","OH"
"casselberry","FL"
"Powell","DE"
"Brookhaven","GA"
"Champions Gate","FL"
"Wenham","MA"
"Quincy","MA"
"DRIFTWOOD","TX"
"West Newton","MA"
"Bud","TX"
"Braintree ","MA"
"Eldorado Springs","CO"
"Jeffries Point","MA"
"Smyrna","GA"
"Smryna","GA"
"North Vancouver","WA"
"Blendon Twp","OH"
"Championsgate","FL"
"Grove city","OH"
"lake mary","FL"
"Lake Buena","FL"
"Winter Garden","FL"
"Hillsboro","OR"
"Creedmoor","TX"
"Rockwood","OR"
"Alpharetta","GA"
"St Cloud","FL"
"Amlin","OH"
"MEDFORD","MA"
"Durham","OR"
"Norcross","GA"
"Hiliard","OH"
"Tillamoo","OR"
"East Watertown","MA"
"Wrenthan","MA"
"North Lakeway","TX"
"Aurora","CO"
"Newton Highlands","MA"
"stoneham","MA"
"Phoenix","OR"
"St. Cloud","FL"
"N. Billerica","MA"
"S Boston","MA"
"West Pataskala","OH"
"Buda","TX"
"COLUMBUS","OH"
"Medford","OR"
"Superior","CO"
"Roswell","GA"
"Spicewood","TX"
"Rockland","MA"
"Wellsley","MA"
"OVIEDO","FL"
"Hampton","NH"
"Medfield","MA"
"Cloverdale","BC"
"Newton MA","MA"
"Four Corners","FL"
"Wilsonville","OR"
"Lower Mills","MA"
"Zellwood","FL"
"Montverde","FL"
"Orange City","FL"
"Newtonville","MA"
"Southwest Tampa","FL"
"Pickerington","OH"
"Upper Arlington","OH"
"Nagadocaches","TX"
"Sherborn","MA"
"Orlando","CA"
"Marietta","GA"
"North Portland","OR"
"Felida","WA"
"Belmont","MA"
"Sandy springs","GA"
"brighton","MA"
"Vancover","BC"
"Delaware","OH"
"Poinciana","FL"
"Conley","GA"
"Columbus North","OH"
"West Peabody","MA"
"Erie","CO"
"Winterpark","FL"
"Waltham","MA"
"Hollbrook","MA"
"WINTER PARK","FL"
"South Boston","MA"
"norwood","MA"
"Winchester","MA"
"Doraville","GA"
"Portland","OR"
"Carroll","OH"
"CONLEY","GA"
"Ocoee Fl","FL"
"Charlestown","MA"
"Polaris","OH"
"watertown","MA"
"Newwestminster","BC"
"North Vancouver","BC"
"HINGHAM","MA"
"Niwot","CO"
"Gresham","OR"
"Randolph","MA"
"Tucker","GA"
"DeBary","FL"
"Austin texas","TX"
"Walpole","MA"
"Greater Vancouver A","BC"
"Berkshire Township","OH"
"Casselberry","FL"
"Anmore","BC"
"Heath","OH"
"medford","MA"
"Milton","MA"
"Rollingwood","TX"
"OR","OR"
"Plain City","OH"
"Wimberley","TX"
"Newton Center","MA"
"Waban","MA"
"Arlington","MA"
"Sunbury","OH"
"Peachtree Corners","GA"
"Sharon","MA"
"Merrit Island","FL"
"Sunset valley","TX"
"Walnut Gardens  Boulder","CO"
"Swampscott","MA"
"Lewis Center","OH"
"Southwest Orlando","FL"
"East boston","MA"
"norwell","MA"
"Lynn","MA"
"New Westminister","BC"
"Kissimmee,","FL"
"Midway","FL"
"McDonough","GA"
"Doctor Phillips","FL"
"Liberty","KY"
"Tigard (Portland)","OR"
"Columbus - Clintonville","OH"
"WALTHAM","MA"
"Berkshire","OH"
"E Boston","MA"
"W. Roxbury","MA"
"Ocoee","FL"
"Bee Cave","TX"
"West Lake Hills","TX"
"Piedmont","GA"
"Mount Sterling","OH"
"Charleston","MA"
"Blacklick","OH"
"Melrose","MA"
"Lockhart","TX"
"Lougheed","BC"
"West Medford","MA"
"Beacon Hill","MA"
"CASSELBERRY","FL"
"Winder","GA"
"Cocoa","FL"
"Boston-Winthrop","MA"
"Altamonte Springs","FL"
"BURNABY","BC"
"So. Weymouth","MA"
"Everett","MA"
"Portland","HI"
"Aloha","OR"
"Jamestown","CO"
"Cleveland","OH"
"Atlanta","GA"
"Auburndale","MA"
"Belle Isle","FL"
"Everett","WA"
"Happy valley","OR"
"Austell","GA"
"Chamblee","GA"
"Cedar Park","TX"
"Milwaukie","OR"
"Mount Dora","FL"
"Mission Hill","MA"
"Northeast Orlando","FL"
"Longwood","FL"
"West Concord","MA"
"Brighton","MA"
"Manor","TX"
"Franklin","OH"
"Vancovuer","BC"
"Nahant","MA"
"Columbus - Lewis Center","OH"
"Groveport","OH"
"Merritt Island","FL"
"Stoughton MA","MA"
"Wollaston","MA"
"Sudbury","MA"
"Southeast Orlando","FL"
"Lee Vista","FL"
"Avondale Estates","GA"
"HIngham","MA"
"Hanscom Air Force Base","MA"
"Orlando Florida","FL"
"Bedford","MA"
"KISSIMMEE","FL"
"AUSTIN","TX"
"Whitehall","OH"
"CLACKAMAS","OR"
"Mustang Ridge","TX"
"North Decatur","GA"
"ChampionsGate","FL"
"Johnstown","OH"
"Greater Vancouver","BC"
"Ashville","OH"
"Atlanta","CA"
"LONGWOOD","FL"
"NEW WESTMINSTER","BC"
"Orlando ","FL"
"Greater Austin","TX"
"Mareitta","GA"
"Lawrenceville","GA"
"Miami","FL"
"Pine Hills","FL"
"Weston","MA"
"oviedo","FL"
"Lake City","GA"
"burnaby","BC"
"Dripping springs","TX"
"North Scituate Village","MA"
"Hollis","NH"
"Newton Centre","MA"
"Gunbarrel","CO"
"Boulder","CO"
"Orlando","FL"
"Concourse C","GA"
"Lexington","MA"
"Canal Winchester","OH"
"New Westminster","BC"
"Millersport","OH"
"N Vancouver","BC"
"Saugus","MA"
"beaverton Or","OR"
"Historic Milwaukie","OR"
"Downtown Austin","TX"
"Norht Vancouver","BC"
"Oakland","FL"
"Chuluota","FL"
"Alamonte Springs","FL"
"Irvine","CA"
"Lafayette","CO"
"Lockbourne","OH"
"Monteverde","FL"
"BOSTON, HOTEL","MA"
"Vancouver","OR"
"Canton","MA"
"Obetz","OH"
"Chestnut Hill","MA"
"Clermont","FL"
"Greater Vancouver Area","BC"
"Greater Boston MA","MA"
"North Quincy","MA"
"FRAMINGHAM","MA"
"Babson Park","MA"
"Salem","OR"
"SMYRNA","GA"
"East Arlington","MA"
"Wakefield, Massachusetts","MA"
"Dallas","GA"
"Woburn","MA"
"Osteen","FL"
"S. Boston","MA"
"Deland","FL"
"Greater Boston Area","MA"
"Austin Tx","TX"
"CLERMONT","FL"
"Columbus","OH"
"Burnaby","BC"
"Druid Hills","GA"
"Debary","FL"
"College Park Ga","GA"
"Maynard","MA"
"Oak Grove","OR"
"Austin - Westlake Hills","TX"
"Austin","AL"
"Altamonte","FL"
"Pine Castle","FL"
"Marblehead","MA"
"Wakefield Ma","MA"
"Altamonte Sprin","FL"
"boston","MA"
"Westford","MA"
"Bastrop","TX"
"Commercial Point","OH"
"Washington County","OR"
"Hapevile","GA"
"Sand Lake","FL"
"West Columbus","OH"
"Northwest Clackamas","OR"
"Bend","OR"
"Manchaca","TX"
"Ellenwood","GA"
"Sand Lake, Florida","FL"
"Portland","CA"
"Longmont","CO"
"BOSTON","MA"
"Pataskala","OH"
"LAKEWAY","TX"
"Hays","TX"
"Deltona","FL"
"Kerrville","TX"
"Stoughton","MA"
"Newton Upper Falls","MA"
"Troutland","OR"
"Pilot Knob Acres","TX"
"Vanvouver","WA"
"Fairburn","GA"
"N.Reading","MA"
"Shawnee Hills","OH"
"Arvada","CO"
"Lake Oswego","OR"
"Macon","GA"
"Austin","CA"
"Reading","MA"
"Vancouver","DC"
"Etna","OH"
"Norwood Center","MA"
"Harrisburg","OH"
"Driftwood","TX"
"SURREY","BC"
"Atlanta  (BKHD)","GA"
"Lake Buena Visa","FL"
"DUNWOODY","GA"
"Jeffries Point / Airport","MA"
"Columbus/Hilliard","OH"
"Jamaica  Plain","MA"
"Pinehurst","MA"
"San Antonio","TX"
"Hillard","OH"
"Roxbury","MA"
"MILWAUKIE","OR"
"Greater Boston","MA"
"Volente","TX"
"Worthington","OH"
"Lake Buena Vista, Orlando","FL"
"Buena Ventura Lakes","FL"
"Newton","MA"
"Newton Upper Fall","MA"
"BOSTON LOGAN AP","MA"
"N Billerica","MA"
"Longwood Fl","FL"
"Edgewood","FL"
"Vancouver","ABE"
"Carlisle","MA"
"WINTER GARDEN","FL"
"Lithopolis","OH"
"Beaverton (Portland)","OR"
"REVERE","MA"
"Historical Park","GA"
"Sorrento","FL"
"Austin","MN"
"Middleton","MA"
"Downtown Vancouver","BC"
"Bolder","CO"
"TIGARD","OR"
"Spring Valley","NY"
"South Waltham","MA"
"Central","FL"
"Morrow","GA"
"Sheridan","WY"
"Saint Cloud","FL"
"Port Coquitlam","BC"
"Southeast Austin","TX"
"Homan","WA"
"Kennesaw","GA"
"Wakefield","MA"
"Norwood","MA"
"Wellesley Hills","MA"
"Fern Park","FL"
"Altamonte Springs, Florida","FL"
"Atlanda","GA"
"Richmond","VA"
"Rivergrove","OR"
"Brookline Village","MA"
"RichMond","BC"
"Milwaukee","OR"
"Weymouth","MA"
"Haines City","FL"
"TIgard","OR"
"Decatur ","GA"
"BURLINGTON","MA"
"Schertz","TX"
"Vinings","GA"
"Marble Cliff","OH"
"West Austin","TX"
"Kissimee","FL"
"Oakhill","TX"
"Ellsworth","KS"
"Gotha","FL"
"Medford","MA"
"King City","OR"
"Kings County","NY"
"Forest Park","GA"
"Del Valle","TX"
"Westwood","MA"
"Holbrook","MA"
"COCOA","FL"
"Beuna Vista","FL"
"Brookline","MA"
"Reynoldsburg","OH"
"LakeWay","TX"
"Chelmsford","MA"
"milwaukie","OR"
"Kyle","TX"
"Orlando-Kissimmee","FL"
"West Linn","OR"
"Reunion","FL"
"South End","MA"
"Conyers","GA"
"GRANDVIEW","OH"
"Lousiville","CO"
"Camas","WA"
"Braintee","MA"
"San Jose","CA"
"Belcarra","BC"
"WOBURN","MA"
"North Cambridge","MA"
"Leominster","MA"
"Cooper City","FL"
"Rio Rancho","NM"
"Christmas","FL"
"Lake Oswego, OR","OR"
"ORLANDO","FL"
"Orland","FL"
"Heathrow","FL"
"Stone Mountain","GA"
"Ococee","FL"
"Andover","MA"
"Columbus - Hilliard","OH"
"Jackson","TX"
"Gillem Enclave","GA"
"Gladstone","OR"
"TITUSVILLE","FL"
"Fairview","OR"
"Louisville","CO"
"newton","MA"
"Sandy Springs","GA"
"Needham Heights","MA"
"Portland","WA"
"Quincy Center","MA"
"Beaverton","OR"
"Georgia","GA"
"Eatonville","FL"
"Portland, OR","OR"
"Atalanta","GA"
"MIlton","MA"
"Nashua","NH"
"Glendale","WI"
"Portland-Eastport Plaza","OR"
"North Billerica","MA"
"Rockport","MA"
"Salem","AZ"
"Revere","MA"
"Westlake","TX"
"Granville","OH"
"Brockton","MA"
"Ashland","MA"
"North Shore","MA"
"St.Cloud","FL"
"Bexley","OH"
"Dripping Springs","TX"
"Columbus","GA"
"Lake Monroe","FL"
"Forest City","FL"
"Kingston","MA"
"Dedham","MA"
"Portand","OR"
"HILLSBORO","OR"
"Vancouver","CA"
"Leander","TX"
"Harbor Islands","MA"
"Sanford,","FL"
"beaverton","OR"
"WESTERVILLE","OH"
"Port Moody","BC"
"Boring","OR"
"Broomfield","CO"
"London","OH"
"Norwell","MA"
"DEDHAM","MA"
"South Buda","TX"
"Kitsilano","BC"
"St Johns","OR"
"Wayland","MA"
"Golden","CO"
"South Weymouth","MA"
"UPPER ARLNGTN","OH"
"Tualatin","OR"
"Winter Park ","FL"
"Winter Park","FL"
"St John","FL"
"Jackson","MI"
"BRAINTREE","MA"
"Mid-Cambridge","MA"
"51 Richard Beall Hwy 17-92","FL"
"Tigard","OR"
"Lake Oswego","AZ"
"Altamonte Spg","FL"
"Rockledge","FL"
"VANCOUVER","WA"
"Brevard County","FL"
"Beverly","MA"
"Damascus","OR"
"Dr. Phillips","FL"
"BrIghton","MA"
"Marlbehead","MA"
"Ladner","BC"
"Portland","TX"
"vancouver","BC"
"Arlington Heights","MA"
"Portland Oregon","OR"
"Mt Dora","FL"
"Dallas","TX"
"BOULDER","CO"
"Buena Vista","FL"
